Q53 AKT74 A8 QJ4|AJ984 J8 QT6 K98|KT2 Q95 K754 T52|76 632 J932 A763
A983 Q864 Q6 AKQ|QT6 K2 JT94 7532|J J97 AK32 JT986|K7542 AT53 875 4
KQ2 QT5 AKJ97 QT|J87 K943 3 AK984|A43 A6 QT64 J632|T965 J872 852 75
AKT52 AK6 K83 62|3 Q9432 Q97 AK85|QJ6 J5 AT5 QJT74|9874 T87 J642 93
54 A52 KJT3 AK54|T93 9864 A5 JT98|KQ862 KQJ7 8742 |AJ7 T3 Q96 Q7632
AK8 KQJ97 62 K62|QJ54 T32 KT87 J7|73 854 QJ4 AT543|T962 A6 A953 Q98
QJT Q72 A5 AK952|K732 J984 KQJ2 T|A9 AT65 643 J863|8654 K3 T987 Q74
A87 A6 AJT82 Q54|K6542 Q8 K6 K732|QT9 54 93 AJT986|J3 KJT9732 Q754 
J53 K76 AKQ6 A73|AKQT74 JT943 3 J|8 Q5 JT92 KQ8542|962 A82 8754 T96
AKQ83 A7 K83 964|6 642 Q964 AJ732|T754 KQ98 T7 QT5|J92 JT53 AJ52 K8
AQ AQ873 QT9 J98|J54 54 AJ2 AKT42|KT73 KJT962 6 53|9862  K87543 Q76
A87 K64 QJ98 KQ2|KT652 AJ72 6 A96|J3 QT95 AK54 854|Q94 83 T732 JT73
AJ54 A72 K72 A43|T932 KT6 QT3 JT9|KQ7 9853 J98 K72|86 QJ4 A654 Q865
AT4 AK3 K72 Q983|Q86 Q6 63 AKJ754|KJ92 J9854 A54 6|753 T72 QJT98 T2
AQ763 KT4 QJ6 K6|J542 J52 95 A832| Q9873 AKT72 J74|KT98 A6 843 QT95
A5 AKQJ2 J82 643|QJT82 98643  KQ2|K4 T75 AKT7543 J|9763  Q96 AT9875
KQJ9 KQ72 Q93 K8|76 AT KT72 AQJ65|A852 J8653 A64 7|T43 94 J85 T9432
7543 AJ5 QT AKQ8|JT 83 9653 T9653|Q862 T9 AKJ84 J2|AK9 KQ7642 72 74
AT85 KT54 KJ6 KQ|KQ97 A2 9742 J72|6 J86 Q3 AT86543|J432 Q973 AT85 9
AQJ65 65 A87 AT9|T984 AJ84 KT642 |7 KQT932 QJ9 Q62|K32 7 53 KJ87543
QJ5 AK 942 AJ865|AT9 JT72 KJT7 K2|K8732 4 A53 T974|64 Q98653 Q86 Q3
KQT AQ76 JT32 K5|A76 K843 A5 T843|8532 JT5 Q7 AQJ9|J94 92 K9864 762
J953 AT2 AQ8 AQ5|QT64 75 T95 7632| KQ943 K762 J984|AK872 J86 J43 KT
A82 KQ876 J5 AJ6|KT T92 A96 KT432|QJ764 A5 Q842 85|953 J43 KT73 Q97
J7 KQT98 AK5 A52|AKT83 54 83 Q974|652 A73 9642 K86|Q94 J62 QJT7 JT3
KJ8 76 AKT53 A94|9763 Q82 J2 8652|AT KJ543 987 KT7|Q542 AT9 Q64 QJ3
K763 AQ9 KT62 QJ|AT54 J654 A4 975|QJ KT87 J975 K42|982 32 Q83 AT863
A54 AK63 KJ87 J8|KQ98 92 Q9 AK653| QJ85 AT543 Q742|JT7632 T74 62 T9
K94 AQ832 84 AQ9|T3 K754 AT9 T865|AQ652 T6 Q7 K432|J87 J9 KJ6532 J7
A73 KQ93 AQ3 J43|Q2 J84 T964 A986|JT65 6 K52 KT752|K984 AT752 J87 Q
K9 982 AQ65 AK72|Q32 KJ54 K82 QJ4|JT84 AQ6 J743 85|A765 T73 T9 T963
AK3 A63 Q3 Q7652|T982 T9 K752 KJT|Q754 K84 J6 A984|J6 QJ752 AT984 3
AQ96 KQ9 73 KQJ5|53 J843 QT54 AT7|KJT872 A765 J6 6|4 T2 AK982 98432
Q543 KJ7 AK85 Q9|KJ T54 Q64 65432|AT982 A963 T3 T8|76 Q82 J972 AKJ7
K62 AKJ54 A72 T9|T85 T6 Q86 AQJ63|QJ743 Q972 95 K7|A9 83 KJT43 8542
AQ7 A83 Q6 AJT92|542 J5 AKT98 Q83|KT983 T7 J532 K4|J6 KQ9642 74 765
AT96 J97 A63 AQ3|Q2 Q862 JT975 J5|K75 T4 KQ84 T962|J843 AK53 2 K874
K5 K42 KQJ3 KQ93|874 Q96 T9852 75|Q J873 764 AJT86|AJT9632 AT5 A 42
K87 QJ AT762 KQJ|54 754 KQ8 T8652|T932 A62 J9 A974|AQJ6 KT983 543 3
J73 AK74 73 AK42|AKT965  964 8753|Q82 JT53 AJT5 T6|4 Q9862 KQ82 QJ9
K73 AJ852 AK 943|AT94 643 642 JT5|J62 KT T975 K762|Q85 Q97 QJ83 AQ8
AKJ98 Q54 AQ7 T5| A982 K98532 872|Q763 K76 J4 A963|T542 JT3 T6 KQJ4
A972 AK98 76 A85|J QJ54 QT84 KQ43|KQ865 732 K2 J96|T43 T6 AJ953 T72
Q53 A42 A976 AK6|A6 QJ653 Q543 74|K84 97 KJT8 QT98|JT972 KT8 2 J532
J76 AKJ AK5 T542|AT42 T982 Q3 QJ3|K9853 Q4 J64 A86|Q 7653 T9872 K97
A97 AK6 QJ8 J942|QJ4 T32 AT9652 K|KT5 95 43 AQ8763|8632 QJ874 K7 T5
QJT KT73 AK75 A5|K6 9654 T9863 K8|9754 AQJ2 Q2 J62|A832 8 J4 QT9743
K4 AKJ9 AQ9 9754|JT7 T65 864 K632|Q986 Q72 KJ72 T8|A532 843 T53 AQJ
KT5 J8763 AK AT2|64 K92 QT542 J85|AJ9872  J976 Q94|Q3 AQT54 83 K763
Q4 A76 KQ853 AJ3|KJ9 Q94 96 KT964|AT76532 KJ53  72|8 T82 AJT742 Q85
A94 64 AQT6 AJ82|K83 753 KJ9854 6|QJ7652 KJT8  Q53|T AQ92 732 KT974
K92 Q96 AQ43 AQT|4 AT53 T76 K8532|AJ65 4 KJ85 J974|QT873 KJ872 92 6
T965 AK3 A9 KQJ4|8742 Q875 653 87|KQJ3 T94 4 AT652|A J62 KQJT872 93
KQT KT4 J9754 AK|AJ93 QJ976 Q83 6|64 A2 AT6 JT8432|8752 853 K2 Q975
QT7 A7542 AQ4 AT|K942 QT9 KT6532 |A3 J86 7 KQ87532|J865 K3 J98 J964
QT AQ4 KT9 AJT92|J73 K8762 A5 863|A64 JT9 8763 KQ5|K9852 53 QJ42 74
KJ4 9874 AKQ6 K7|AQ863 KT32 2 Q92|T75 QJ6 J3 AT543|92 A5 T98754 J86
J986 A8 AKJ6 A85|Q Q9763 T5 KQJ94|A75 KT2 Q943 T32|KT432 J54 872 76
Q85 AKT3 QJ5 AJ2|AKJ9 762 9872 KT|T73 J9 AKT4 7643|642 Q854 63 Q985
AQ3 AKQ52 J6 743|KT2 T86 A943 K65|654 97 KT75 AQJ8|J987 J43 Q82 T92
Q92 AK J72 AJ963|AJ8 JT5432 4 K72|KT76 Q87 QT86 85|543 96 AK953 QT4
KJ86 A2 AJ72 QT7|A7432 Q4 K65 K84|Q KJT97 T9 J6532|T95 8653 Q843 A9
A2 K852 K54 KQ74|853 QT Q76 J6532|JT76 A64 AJT83 8|KQ94 J973 92 AT9
J42 AKQ4 J75 KQ4|AQT9 T3 KT82 T93|7 J8765 AQ64 J72|K8653 92 93 A865
T83 KQ9 AK AT652|AJ75 T762 J973 Q|KQ962 AJ5 64 973|4 843 QT852 KJ84
AQ3 A62 AJT87 T5|JT9765 8754 3 KQ|842 KJ3 Q6 AJ942|K QT9 K9542 8763
AKJ62 A8 976 A74|85 Q942 J52 K852|T943 J63 AT8 QJ3|Q7 KT75 KQ43 T96
8653 AT8 A63 AK3|AQ92 J9643 J T94|JT K52 KQ975 865|K74 Q7 T842 QJ72
KJT4 KQ64 A6 K84|A73 2 QJ94 AQ952|98652 A7 K72 JT3|Q JT9853 T853 76
J3 Q73 AK632 AK7|K8765 T62 854 QJ|AQT K5 J97 T6532|942 AJ984 QT 984
K5 AT6 A976 A652|AJ62 843 Q83 T84|QT87 KJ9 J52 K93|943 Q752 KT4 QJ7
AJ8 T8 AKQJ QT75|T95 KQJ9 842 K43|743 A754 763 AJ9|KQ62 632 T95 862
A76 K94 A952 A87|J982 Q3 Q76 QT53|Q53 T2 KJ43 KJ92|KT4 AJ8765 T8 64
T64 A92 AKQT8 K8|875 QJT653 J9 A9|KQ K74 7653 QJ62|AJ932 8 42 T7543
AK5 AK4 J87 JT94|962 9753 AQT4 63|QJ843 86 K95 A72|T7 QJT2 632 KQ85
QT96 AJ A87 A743|AJ 65 T6532 JT52|872 QT42 94 KQ86|K543 K9873 KQJ 9
AT6 A76 Q72 AQT6|87 53 AKJ93 J532|KQJ9 QJT9 65 984|5432 K842 T84 K7
94 AKQ3 QJ96 K32|A8 965 T842 JT95|QJ52 JT K753 A64|KT763 8742 A Q87
K98 K64 AKT42 K9|J7653 95 QJ86 A5|AT2 JT8732 9 Q64|Q4 AQ 753 JT8732
A64 K97 AQ64 QJ9|8 Q83 KJ9853 AT4|KJ973 AT42 T72 8|QT52 J65  K76532
Q85 AQJ7 A92 QT2|J63 96 K854 9853|A972 842 QT73 A6|KT4 KT53 J6 KJ74
K764 A985 AK7 J7|J95 J3 J962 KQ53|T832 Q7 QT3 AT98|AQ KT642 854 642
AQ97 KQJ KT2 T74|654 T982 85 J652|KT832  A9764 A83|J A76543 QJ3 KQ9
KQ7 643 AJ654 AQ|A95 JT92 K732 J8|8643 AQ5  KT7642|JT2 K87 QT98 953
KQ3 K83 KQ52 Q54|A84 Q752 AT9 J63|J6 A64 8764 K972|T9752 JT9 J3 AT8
Q42 AKQ7 AT Q973|A 5 QJ87532 A842|KT863 J92 K4 JT5|J975 T8643 96 K6
A85 AQ965 Q5 K82|T6 J4 KJ973 AQJ5|KQ743 T8 AT6 T64|J92 K732 842 973
J9 A84 A653 AKJ5|K84 T5 72 QT9842|Q762 KQ9 KJT84 3|AT53 J7632 Q9 76
Q32 K872 AQJ K54|96 AJT 974 AQJ86|KJT8754 Q54 K2 9|A 963 T8653 T732
J53 AKQ7 AJ T743|T97 852 Q62 KJ92|AKQ2 T3 9874 Q65|864 J964 KT53 A8
AQ54 KJ95 K7 QT4|32 QT64 942 AJ75|KJ97 872 AQ863 8|T86 A3 JT5 K9632
QT2 AJ2 QT3 AK73|AJ96543 74 KJ6 5|K7 Q986 A84 T984|8 KT53 9752 QJ62
K85 AK43 K75 A96|AJT94 5 J62 T843|Q763 Q982 Q43 KJ|2 JT76 AT98 Q752
AK9 Q984 J63 KQ2|754 K65 KT98 JT8|QT6 JT2 AQ52 543|J832 A73 74 A976
KJ652 T87 A6 AKT|T984 5 QT75 Q974|Q3 QJ92 K42 J852|A7 AK643 J983 63
QJ6 A852 KJ9 AT6|KT85 KQ A7532 95|A9432 7 Q86 Q732|7 JT9643 T4 KJ84
A2 KQ3 KQ965 QT9|T9853 987 7 A852|K64 J5 AJ842 643|QJ7 AT642 T3 KJ7
AK643 QJ4 AJ8 T9|T2 KT753 KT KJ63|QJ 86 Q743 Q8542|9875 A92 9652 A7
J632 A63 AK54 KQ|Q8 2 J632 T98764|K975 J985 Q AJ32|AT4 KQT74 T987 5
A73 AT A53 AT973|KQT42 974 QJ97 K|5 KJ865 K862 J65|J986 Q32 T4 Q842
AJ752 A95 JT KQ3|K8 T74 87532 A97|T9 K832 KQ4 JT84|Q643 QJ6 A96 652
AQ97 AJ6 KJT5 65|63 9543 84 QT972|K8 KT7 A9632 843|JT542 Q82 Q7 AKJ
K76 AK932 Q4 KJT|JT8 T64 JT2 Q874|Q542 Q8 K76 A962|A93 J75 A9853 53
A976 K42 A9 AJ82|K543 875 K742 K7|Q2 AQ3 JT86 QT54|JT8 JT96 Q53 963
832 A7432 A9 AQJ|7 KQJ8 KJ7 98543|A654 T96 T8 K762|KQJT9 5 Q65432 T
Q53 AK6 AQT Q543|JT74 73 KJ865 98|986 QJ85 743 A76|AK2 T942 92 KJT2
AJ4 976 53 AKQJ8|Q8762 AQ8 T9 543|KT53 KJ43 Q872 T|9 T52 AKJ64 9762
K53 AK 652 AJT97|J42 QJ732 J98 85|AQ8 T64 Q743 K63|T976 985 AKT Q42
A8 AQ85 K975 K92|KT52 T7 AT2 T653|97 J6432 QJ64 A4|QJ643 K9 83 QJ87
JT2 AQT7 AKQ2 J2|74 KJ9864 6 AK64|AK6 3 JT974 QT53|Q9853 52 853 987
AKJ86 A6 962 AT9|97432 T5 J43 Q73| KJ98432 K875 62|QT5 Q7 AQT KJ854
AT3 Q943 Q4 AK76|QJ652 86 8752 JT|87 KJ752 AJT9 32|K94 AT K63 Q9854
K74 AQ3 KT6 KT74|AT J72 A94 Q8653|J86 854 QJ3 AJ92|Q9532 KT96 8752 
AQ8 KQ92 AJ98 J4|K642 7653 Q K852|9 JT8 K763 AQT97|JT753 A4 T542 63
KQJ3 AT4 A76 J98|A9654 J75 K982 Q|872 Q32 QT3 KT54|T K986 J54 A7632
AK53 AK3 942 QJ8|8 J982 J8653 A43|QJ942 Q765 K 952|T76 T4 AQT7 KT76
AJT4 A742 A9 K64|Q8 KT65 J4 QT983|K62 98 KT8765 AJ|9753 QJ3 Q32 752
KJ4 AKJ T93 A954|AT76 T6532 86 62|Q9852 74 QJ7 QT8|3 Q98 AK542 KJ73
T7 AKQT4 KT6 A73|Q9543 2 J4 J8542|J J87 Q872 KQT96|AK862 9653 A953 
K65 KJ52 T8 AKJ8|JT AT8643 A52 65|A8432 9 K76 T742|Q97 Q7 QJ943 Q93
653 AJ KQJ6 A854|QJ84 KT85 43 Q62|AK Q972 875 T973|T972 643 AT92 KJ
AT52 KQ95 K6 AJ4|KQ97643 A84 85 6|8 J2 AQJT32 T953|J T763 974 KQ872
A95 KT AT9 AT843|87 9765 Q8752 95|QJT63 J4 63 KQ76|K42 AQ832 KJ4 J2
AQ973 T9 AK6 K82|KT852 AKJ3 953 9| 82 QJT842 AQ743|J64 Q7654 7 JT65
AQJ A76 QJ3 KT95|6532 84 AT74 Q84|T7 QT3 K9652 A76|K984 KJ952 8 J32
AK4 A52 AJT J932|97 J976 Q2 AKQT5|QT8 Q84 K7653 86|J6532 KT3 984 74
A76 K95 A974 AQ7|QJ8 AQ84 852 K98|KT9 T62 KJ3 T532|5432 J73 QT6 J64
AT2 AKT6 QJ7 J32|K987 74 AT65 Q84|653 QJ952  AKT95|QJ4 83 K98432 76
T8 KQ62 KQJ3 A76|AJ2 3 962 K98532|KQ64 97 754 QJT4|9753 AJT854 AT8 
AK98 T9 T82 AKJT|JT743 Q765 Q6 Q9|Q AJ8432 953 875|652 K AKJ74 6432
Q932 AT5 AQJ K94|A8 Q92 932 AJT76|754 KJ873 KT54 2|KJT6 64 876 Q853
AT42 T2 K95 AKJ7|J8 Q4 J87643 Q65|K7653 A86 T2 982|Q9 KJ9753 AQ T43
T3 AKJ85 AJ7 A83|J8642 743 Q42 QJ|AQ75 Q62 63 K974|K9 T9 KT985 T652
J75 963 AJ AKQ73|QT43 A84 T764 95|K982 QJ75 K52 84|A6 KT2 Q983 JT62
654 AK QJ62 AJ52|AT J863 K853 T63|Q983 T2 T74 KQ74|KJ72 Q9754 A9 98
KJ4 AJ32 KJ4 K54|3 KT8765 A9873 A|A962 Q94 62 JT98|QT875  QT5 Q7632
95 AK6 KJ975 AT5|KQ4 Q985 8642 Q9|87 T3 AT3 KJ8642|AJT632 J742 Q 73
K86 AQ A8765 K97|AQ97 KT643 Q T43|43 J97 KJ32 A862|JT52 852 T94 QJ5
AK8 Q532 A852 Q2|Q AJ764 6 JT7654|97 KT98 KQ974 K8|JT65432  JT3 A93
A987 KQ94 Q3 A87|KQT6 T8762 A7 K6|532 A KJ854 Q943|J4 J53 T962 JT52
Q73 A5 KQ7 KQT76|K942  AJT 985432|AJ KJT743 96532 |T865 Q9862 84 AJ
85 K9875 AKQ A95|K643 JT3 T73 JT4|QT9 Q4 J98542 Q8|AJ72 A62 6 K7632
A32 AJ8 QJT2 AJ3|Q8765 KQT63 7 65|J94 42 A853 QT72|KT 975 K964 K984
AJ8 KJ43 A65 A62|Q64 AT 72 KJ9853|KT73 95 KJ8 QT74|952 Q8762 QT943 
A864 AK72 A8 Q75|32 Q95 KJ632 J86|K95 84 T974 AK93|QJT7 JT63 Q5 T42
A73 AJ2 K2 A9542|QT52 Q973 843 J3|K98 64 AT965 876|J64 KT85 QJ7 KQT
JT75 AJT7 KJ4 AJ|Q986 Q954 873 74|AK3 632 62 K8632|42 K8 AQT95 QT95
QT7 K86 AJ85 AK2|A32 75 K94 JT875|KJ964 J93 Q6 Q43|85 AQT42 T732 96
AK7 KJ9 A943 863|J98543 Q JT7 QJT|Q 7632 KQ852 K74|T62 AT854 6 A952
A92 KJT6 75 AK82|KT6 A42 J63 QJ54|Q754 Q973 K982 9|J83 85 AQT4 T763
AK72 AQ7 J752 K8|9853 T84 AT3 T96|T6 J952 964 AQ43|QJ4 K63 KQ8 J752
KQT KJ832 K7 KQ5|6 Q6 QJT853 A873|J8754 AT9 A92 J6|A932 754 64 T942
KQ62 QJ9 AK75 T2|AJ95 A65 JT32 96|743 KT72 Q6 KJ54|T8 843 984 AQ873
65 K97 AKQ65 AT6|AT82 JT3 432 QJ5|Q74 AQ542 98 K73|KJ93 86 JT7 9842
K3 AQ8 K542 KT52|QJT542 J3 AQ6 AJ|A8 K96542 T73 98|976 T7 J98 Q7643
KT4 KJ6 J87 AKQ3|Q9875 A98432  98|A6 Q75 AT962 J52|J32 T KQ543 T764
A65 AQ97 KJ5 K43|92 K32 Q97 AQT76|Q3 654 A862 J982|KJT874 JT8 T43 5
K32 KQ2 JT AQT54|Q9754 983 K8 873|J86 AT7 Q762 J92|AT J654 A9543 K6
A9 876 AT83 AKQ4|T65 9542 J74 T87|Q72 QJ KQ62 9653|KJ843 AKT3 95 J2
A93 A7 AQJ83 QT4|752 KT8653  8763|KT84 4 9652 AK92|QJ6 QJ92 KT74 J5
AJ973 K52 A82 A2|T542 874 J93 QJ4|Q8 QJT QT54 K985|K6 A963 K76 T763
QJ953 K32 K43 AQ|T86 T7 Q82 KJT96|A4 Q984 JT9 8542|K72 AJ65 A765 73
K8 A654 KQ43 KJ6|A92 QJT98 A5 T82|QJT K7 J762 Q543|76543 32 T98 A97
K64 A8 AJT52 A95|532 QJ42 4 T8642|AQJT 763 986 QJ3|987 KT95 KQ73 K7
A743 AK J76 AT84|KQJT62 6432 Q3 Q|985 J87 AKT952 K| QT95 84 J976532
AK973 A62 AJ T43|T642 K9 K8432 K9|QJ8 T QT975 AJ76|5 QJ87543 6 Q852
AKJT6 52 AQJ J94|Q7 QJT76 85 AQ62|98 AK93 KT9 T853|5432 84 76432 K7
A94 AQ54 A93 K65|K KT87632 5 AT72|QJ732  QJT874 Q4|T865 J9 K62 J983
K5 972 AQT52 AK6|QJ98 J643 KJ6 Q4|T74 AKQT 973 985|A632 85 84 JT732
AJ7 A84 QJT86 KJ|6532 T75 K732 Q2|QT84 J962 A9 T97|K9 KQ3 54 A86543
AQJ5 A97 53 AJT2|9 QJT52 9874 Q76|T872 K643 K6 K53|K643 8 AQJT2 984
A7 A84 QT5 AK754|JT9532 T6 AK73 6|Q86 K75 J8 QT982|K4 QJ932 9642 J3
J3 A83 KQT84 KQ6|KQT87642 Q6 6 93|A95 T754 J953 A2| KJ92 A72 JT8754
QJ9 AQ65 K65 AJ8|K2 JT72 AJT982 9|A873 84 4 KT7432|T654 K93 Q73 Q65
A954 Q43 AQ52 A6|KT63  JT7 KJT987|J2 JT82 K983 Q52|Q87 AK9765 64 43
T84 KQ7 K76 AK96|AKJ2 63 Q84 QJ73|Q97 A2 AJT92 T85|653 JT9854 53 42
K942 A4 A965 A95|753 Q QJT843 KQ7|AJ KT8652  JT643|QT86 J973 K72 82
J64 AJ8 KT96 AQ5|Q98 32 QJ84 JT97|T732 KQ A732 642|AK5 T97654 5 K83
AJ5 A432 AK42 J7|92 KT87 T83 Q654|T6 QJ J76 AKT983|KQ8743 965 Q95 2
A832 KQJ5 Q97 QJ|T6 A876 J654 A97|KJ7 T9432 T3 K43|Q954  AK82 T8652
96532 A5 A84 AK3|KT Q63 52 987654|AJ74 JT974 KJ6 2|Q8 K82 QT973 QJT
J63 K7 AQ986 KQ4|AT8 Q9532 KJ32 5|KQ9542 J T4 AJ93|7 AT864 75 T8762
AT AK8 AJT42 JT8|Q972 J742 87 K65|K843 T6 KQ963 Q3|J65 Q953 5 A9742
9543 AK4 AQ5 Q87|T2 Q9753 J642 J9|KQJ JT82 T98 A62|A876 6 K73 KT543
Q83 Q63 AKQ5 K64|J95 AK87 2 AQJ98|AKT76 2 J843 T32|42 JT954 T976 75
Q8 AK98 T64 AQ86|AKT T5 QJ32 JT53|J765432 32 K7 K9|9 QJ764 A985 742
AK8 AT7 Q543 A75|Q2 K 9876 KQ9632|J973 QJ543 KT J4|T654 9862 AJ2 T8
QT A7654 AQ7 A52|A53 J82 K2 T9843|982 K9 JT965 KQ6|KJ764 QT3 843 J7
6542 KT94 A4 AKQ|98 Q32 T9832 975|T A76 KQJ65 T862|AKQJ73 J85 7 J43
AT4 A6432 K8 KQ7|J72 J5 AT6 A5432|KQ3 Q8 QJ975 J96|9865 KT97 432 T8
K5 AT94 AT52 KQ4|863 QJ8752 983 2|AQJT94 3 KJ64 T3|72 K6 Q7 AJ98765
QJ7 AT2 K92 KQT7|A43 K3 T643 AJ98|KT965 8 AQ8 6542|82 QJ97654 J75 3
AQ3 J8 A95 KQJT7|8642 97543 T74 8|JT9 QT2 KQ3 9643|K75 AK6 J862 A52
JT5 KQ8 KJ9 AQ82|9 AT753 T65 K975|K842 J94 Q72 JT3|AQ763 62 A843 64
T65 AK65 K843 AJ|9743 QJT32 972 K|AQ 974 AJ5 98653|KJ82 8 QT6 QT742
AK8 A763 K76 KT7|94  J9532 Q98532|QJT7 KJ92 T84 A6|6532 QT854 AQ J4
A8 932 AKT AQ765|J97532 AQ4 J7 42|Q6 KJT6 Q9652 J9|KT4 875 843 KT83
AK AKT64 Q86 943|T964 Q5 K2 AKJT8|75 973 AJT7 Q752|QJ832 J82 9543 6
A96 T954 AK8 AQ5|T43 A72 4 KJT943|J2 KQJ QJT652 82|KQ875 863 973 76
AQ8 Q86 A5 KT763|JT9732 K4 K72 AJ|K4 532 QJ9863 Q8|65 AJT97 T4 9542
KQ8 A83 K76 A643|T76 K954 J3 KJT5|A953 T72 AT542 7|J42 QJ6 Q98 Q982
95 QT54 A62 AKQ3|Q62 93 KJT84 T75|T73 KJ8762 Q7 J8|AKJ84 A 953 9642
KQ73 KJ53 732 AQ|A5 A2 T6 KT97543|94 T9864 AQ98 J2|JT862 Q7 KJ54 86
AQ432 AJ 743 A93|T875 Q54 AJ8 Q87|6 83 KQT962 KJT6|KJ9 KT9762 5 542
AQ975 J64 AQ4 Q9|862 KT75 T832 T8|3 A32 J765 AJ752|KJT4 Q98 K9 K643
Q52 974 AJT8 AKQ|AJT76 6 K54 8752|K984 Q82 Q97 J93|3 AKJT53 632 T64
KJ KQ4 KT943 QJ8|AQ8652 6 65 AK53|94 JT9872 AQ 974|T73 A53 J872 T62
K8 9754 AJ8 AQJ6|Q732 63 QT64 KT3|JT4 AKQ2 72 9872|A965 JT8 K953 54
K862 A86 AJ7 K82|7543 J7543 K8 J7| QT92 Q9543 A965|AQJT9 K T62 QT43
AJ3 Q52 AKJ7 T95|KT9 T986 QT95 32|Q7652 J73 3 AJ76|84 AK4 8642 KQ84
QJ4 AT953 A63 A4|86 K762 Q75 J976|K2 J4 KJ9842 T83|AT9753 Q8 T KQ52
A7 AQ63 7653 AK4|J K52 AKQJ82 JT9|KQT654 JT84 9 Q7|9832 97 T4 86532
KT9 AKJT 32 AQ73|76 53 Q9654 KJ98|AQJ52 87 KJ87 T6|843 Q9642 AT 542
KJ6 QT5 AKT9 K98|72 AKJ94 6 QJT76|AQ543 82 J752 43|T98 763 Q843 A52
AJ3 Q62 AJT5 KJ6|K862 T3 Q92 QT32|97 AK9854 84 A97|QT54 J7 K763 854
QJT9 Q7 AKT AJT7|A532 T943 Q52 96|K6 J86 J976 K843|874 AK52 843 Q52
Q5 A65 AT3 AJT32|KJT4 K832 QJ8 76|9872 QT4 965 KQ5|A63 J97 K742 984
K97 KQ642 KJ A84|QJT8542 J9 843 5|A63 T85 A52 QJT6| A73 QT976 K9732
AK KQ875 Q32 Q53|J65 64 J8 AJT986|74 JT32 AKT976 7|QT9832 A9 54 K42
QT754 AT7 Q9 AK3|AK32 64 AT853 T9|8 KQJ932 K7 8762|J96 85 J642 QJ54
AT62 A86 AQ QJ83|K8 KQ753 JT832 5|QJ93 J K975 AT42|754 T942 64 K976
K42 AQ8 K9 KJT97|J9 JT92 AQJ2 543| K654 T87643 AQ8|AQT87653 73 5 62
A96 AQJ84 J43 A8|874 9752 QT75 J4|J53 KT6 AK86 T63|KQT2 3 92 KQ9752
AT82 AK7 A86 J96|KQ63 9 K32 Q8432|74 8532 QJT4 AK7|J95 QJT64 975 T5
KJ42 J97 J4 AKQ8|75 QT82 AK2 J962|A963 K54 T9753 7|QT8 A63 Q86 T543
AK6 AKJ62 83 862|QJ87 Q9 KT64 K53|3 T7543 QJ2 AT97|T9542 8 A975 QJ4
K92 83 AK863 AJ2|AQ3 AT542 QJ75 5|765 KQJ T94 Q984|JT84 976 2 KT763
A8 KJT Q642 AJ92|Q542 4 T85 QT643|JT96 AQ953 7 875|K73 8762 AKJ93 K
