K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
832 KQ8 AK75 A95|Q954 53 QT8642 3|AJ7 976 J3 KQJT7|KT6 AJT42 9 8642
QJT8 KT7 AKQT Q9|A32 QJ92 9863 62|5 A864 542 AKT83|K9764 53 J7 J754
AQJ95 A6 AT5 J73|862 8532 K743 84|KT4 KJ9 J9862 A6|73 QT74 Q KQT952
AQ76 A76 543 KQ2|JT852 54 T AT976|K94 T2 AKQ972 J3|3 KQJ983 J86 854
AQ87 AT9 K854 Q2|J653 6543 A A654|K2 KJ72 QJT96 KJ|T94 Q8 732 T9873
86 A763 AQJT AQ7|QT74 KQT98 K T82|AKJ9 J 82 KJ9653|532 542 976543 4
AQ8 J83 Q3 AKJ53|K3 954 T9765 QT2|J76 AK76 AJ4 764|T9542 QT2 K82 98
Q975 AQ4 AJ Q964|AJ84 98653 KT32 |KT62 J2 854 AK85|3 KT7 Q976 JT732
AJ6 92 AQJ2 AT75|QT9742 A6 T983 J|K5 KQJT4 K54 K94|83 8753 76 Q8632
K65 AKQ6 K53 T63|JT943 T984 AQ64 |Q87 J JT2 AKJ987|A2 7532 987 Q542
JT AKT7 AQT JT76|Q7643 Q9843 632 |AK82 6 J875 AK95|95 J52 K94 Q8432
QJ4 AK5 AJ82 972|98652 T T3 AK865|AKT QJ762 Q954 4|73 9843 K76 QJT3
AQ98 AT2 AT75 J3|T6432 J873 Q 965|K KQ J9863 AK874|J75 9654 K42 QT2
A53 AT AJT4 K752|KT62 8654 986 Q6|QJ7 KJ973 K5 JT3|984 Q2 Q732 A984
AT95 AKT 83 KQ72| Q75432 9742 AT8|KQJ432 86 AJ6 65|876 J9 KQT5 J943
QJT KT4 KQJ2 AJ6|973 63 973 KT532|AK865 Q972 A5 87|42 AJ85 T864 Q94
AK5 AT3 T63 KJ54|J973 J62 Q2 AT98|T862 KQ974 AK 76|Q4 85 J98754 Q32
KQ5 AQ JT43 K764|JT987 84 7652 A9|43 KJT3 A98 QJT2|A62 97652 KQ 853
AJT AQ73 AQT4 32|873 K86 76 QT765|KQ965 42 5 AKJ94|42 JT95 KJ9832 8
KQT9 T985 AK2 K3|AJ2 J73 Q954 T52|3 AQ6 J87 AQJ984|87654 K42 T63 76
Q42 AKT7 AQ53 76|T85 Q96 J64 AK82|KJ3 J2 KT7 QJT95|A976 8543 982 43
AQJ3 AQ72 982 K9|T9865 543 3 J842| KJT8 KT64 AQ653|K742 96 AQJ75 T7
QJ6 AQ52 A75 Q87|872 K43 T984 J92|T93 JT9 K6 AKT65|AK54 876 QJ32 43
KJ3 Q4 KT52 AQT3|7 K53 87643 KJ96|A42 AJT962 Q 875|QT9865 87 AJ9 42
A8 KJ53 QT92 KQ9|J5 QT76 K754 874|KQT9 A84 A86 J62|76432 92 J3 AT53
AT3 KT74 Q3 AK52|6 QJ83 874 JT843|J872 96 AKJT62 Q|KQ954 A52 95 976
Q84 AQ5 J83 AQ92|KT63 KT93 Q74 J5|A7 J64 A62 KT764|J952 872 KT95 83
87 A865 AQ93 AJ8|K32 J2 J62 KQ954|AQJ65 KQ 8754 72|T94 T9743 KT T63
K953 AK4 KQ2 975|Q42 T9865 JT9 82|A6 QJ72 873 AQ43|JT87 3 A654 KJT6
AT862 A5 QJ9 AT7|543 63 76 J98643|QJ7 K9874 K842 Q|K9 QJT2 AT53 K52
QJ86 QT94 AQ A72|T95 J73 J873 J63|K42 K82 KT64 QT9|A73 A65 952 K854
A74 A65 AT76 A83|T832 KJT7 J2 KT2|KQJ Q9843 K9 J95|965 2 Q8543 Q764
K5 AJ84 A76 AJ96|AJT2 T5 932 Q852|Q73 Q976 KJT4 K4|9864 K32 Q85 T73
AQ6 K62 43 AKJ54|95 J4 AQT85 9862|732 AQT973 K6 Q7|KJT84 85 J972 T3
AK87 QT63 A9 Q42|T6543 AK852 Q6 6|QJ9 7 KJT8 AKJ87|2 J94 75432 T953
K963 AK8 K762 A3|T87 764 T93 K964|AQ Q932 QJ4 QT85|J542 JT5 A85 J72
AT2 A3 AJ87 KT64|KJ863 J4 9654 95|95 KQT9765 3 AQ8|Q74 82 KQT2 J732
QJ7 93 KQ72 AKQT|K854 J76542 A3 7|AT3 AKT8 J9 J652|962 Q T8654 9843
J83 KT76 AKJ K75|AQT9652 J53 8 43|4 AQ9 743 AQJT82|K7 842 QT9652 96
AJ83 AQ4 J4 KT86|952 K975 Q98 742|KT64 JT2 K76 AJ5|Q7 863 AT532 Q93
AT95 A43 K6 KQ96|K73 QJT7 J7 8542|Q K852 QT9432 A7|J8642 96 A85 JT3
A765 K952 A6 A72|KQ932 43 KT873 4|J8 AQT8 4 KQJ853|T4 J76 QJ952 T96
AQ75 KQ4 K8 J743|T3 T832 AT4 AQT5|KJ82 A97 J52 K92|964 J65 Q9763 86
A8 Q42 AK53 KJ96|975 J9873 8 Q743|KJ632 A QJT62 AT|QT4 KT65 974 852
KJ3 KT95 AQJ4 QJ|T974 Q4 8763 864|Q86 A63 KT952 A3|A52 J872  KT9752
Q2 KJ85 AQJ AT98|K QT9 T8742 Q763|AT76543 A32 K63 |J98 764 95 KJ542
Q5 J83 AK952 AQJ|K6 AKT9 8 T86532|AJ74 Q7652 QT6 K|T9832 4 J743 974
AJ5 QT9 AQT63 K2|T864 K864 72 J76|73 AJ53 KJ85 AQ9|KQ92 72 94 T8543
A92 AKT6 K984 J4|K64 J942 T73 KT3|853 853 AQJ5 A92|QJT7 Q7 62 Q8765
AK764 97 Q95 KQJ|T5 AJ62 84 T8653|J82 KT4 AKJ7 742|Q93 Q853 T632 A9
KJ3 AJ32 QJ95 A3|AQT9762 Q96 843 | K874 K762 KQJT5|854 T5 AT 987642
AQJT5 Q9 AJ8 J83|2 AT542 432 T765|K8763 7 KQT AKQ2|94 KJ863 9765 94
KQ72 985 A98 AQ6|J8 6 KT742 K9754|9 AKQJ74 J653 T2|AT6543 T32 Q J83
AKQ4 J86 K4 Q832|T85 K93 953 T975|9763 T2 AJT2 AKJ|J2 AQ754 Q876 64
KQ97 AJ5 AJ 9832|852 98432 K6 A76|AJ63 KT7 982 KJT|T4 Q6 QT7543 Q54
62 JT86 AKQ4 AQJ|K95 A32 JT9 T954|QJT KQ9 652 K873|A8743 754 873 62
J732 QT7 AKJ A93|T965 54 76 KJT75|AK KJ832 Q85 Q86|Q84 A96 T9432 42
AKJ9 KQ4 T74 K52|8643 T876 J85 73|QT2 AJ32 K6 JT84|75 95 AQ932 AQ96
J875 AKQ 752 AQ8|Q43 JT93 AJ43 62|AK2 72 Q8 KJ7543|T96 8654 KT96 T9
AQ9 J7 JT64 AK42|KT8742 953 A97 5|J6 KQT42 K82 QT9|53 A86 Q53 J8763
A762 A62 A64 KQ5|Q9 T84 KQ9853 76|KJ53 KQ5  AJ9832|T84 J973 JT72 T4
JT5 AKT5 QJ3 KJ2|A842 72 T95 AT74|Q73 QJ96 A876 Q3|K96 843 K42 9865
AQ972 AK3 QJ9 54|T53 7642 A843 QT|K8 Q8 KT76 AJ832|J64 JT95 52 K976
J54 84 AKQ62 AJ9|QT2 J5 974 Q8752|AK876 KQ9 T83 64|93 AT7632 J5 KT3
AT7 A5 KQ963 QJT|9653 9 A874 9862|KJ4 87432 52 AK5|Q82 KQJT6 JT 743
JT2 AK73 KT AJ82|Q964 J6 AJ652 Q6|AK753 5 Q843 K93|8 QT9842 97 T754
AJT32 AKJ Q62 T5|Q8 T8754 KJ 6432|K94 3 AT975 AQJ7|765 Q962 843 K98
A95 KQ984 A73 Q6|J873 A3 QT8654 8|KQT64 52 K9 AKJ7|2 JT76 J2 T95432
AT42 AK86 653 AQ|853 J2 KT872 J72|KQJ76 QT9 AQ 954|9 7543 J94 KT863
K9 A842 K76 AJ64|J876 3 A953 KQ85|AQT5432 KQ765  2| JT9 QJT842 T973
AT853 QJ4 KQ9 A4|K6 K T53 KQT9752|Q4 A9872 AJ876 6|J972 T653 42 J83
AK 86543 KQ4 KT6|Q87632 7 982 842|T94 AKT92 AJ3 97|J5 QJ T765 AQJ53
AQT QJ8 KT86 A92|643 A63 Q432 K54|K852 K97 A97 Q63|J97 T542 J5 JT87
A865 AK3 KQ7 863|JT3 874 T94 AT42|KQ2 Q9 J852 KJ95|974 JT652 A63 Q7
K4 AQJ52 Q73 QJ4|AQT9 K98 92 AT82|852 T6 AKJ84 K93|J763 743 T65 765
AQ9 KQ5 A752 754|K754 T72 QT4 K92|T2 AJ984 KJ6 AQ3|J863 63 983 JT86
AQJ A76 AJ5 J987|T6 QT8 K98763 K6|532 K52 Q2 AQT52|K9874 J943 T4 43
AT8 AQJ85 JT7 A3|5 943 AQ853 J654|KQ32  K962 KQT98|J9764 KT762 4 72
AKT5 K764 AQJ 83|J983 92 54 QT964|7642 A8 T983 AK7|Q QJT53 K762 J52
84 KQJ9 QT54 AQJ|T92 6 AJ9763 K74|AQJ653 AT83 K8 2|K7 7542 2 T98653
A865 Q3 AQT6 K32| KT8 K98753 T854|Q4 J952 J4 AQJ76|KJT9732 A764 2 9
AQ9 QJ74 AK2 T87|J862 A953 543 A4|KT53 K82 QJ9 Q63|74 T6 T876 KJ952
KJ763 KJ2 A98 A5|T4 AT763 42 T864|A8 84 KQT7 QJ973|Q952 Q95 J653 K2
T4 Q76 AQ3 AKT76|J852 T98 K95 943|AQ6 AK43 T6 QJ52|K973 J52 J8742 8
AJ A865 T72 AKJ3|Q32 QT92 J963 86|K75 K43 AQ T9542|T9864 J7 K854 Q7
AK98 A32 32 KJ94|7 K6 J98765 QT82|J42 Q984 KQ A753|QT653 JT75 AT4 6
AK65 Q43 KT63 AT|9872 KT2 972 J64|QT4 J9 AQJ85 K52|J3 A8765 4 Q9873
A874 AJ87 AQ6 T6|T2 KT43 JT5 QJ83|KJ3 65 983 AK974|Q965 Q92 K742 52
J2 A865 AK4 K983|98653 74 J765 JT|AK7 KJ92 T8 AQ42|QT4 QT3 Q932 765
KJ854 AQ QJ3 K72|T73 J743 K2 QJ54|AQ2 KT96 A975 T6|96 852 T864 A983
QJT7 AKT8 AK2 32|42 Q96543 J76 A7|A965 J2 Q9543 KJ|K83 7 T8 QT98654
A7 K64 AKT94 JT9|63 JT93 Q832 A73|KQ54 A852 65 K86|JT982 Q7 J7 Q542
A83 Q53 AK84 K95|KQJT T764 Q62 T3|962 AK82 5 AQ642|754 J9 JT973 J87
AJ6 AJ93 KQ7 J92|KT42 T87 J962 T8|Q975 K T83 AKQ53|83 Q6542 A54 764
765 KJ4 AJT2 AQJ|AJ8 T76 54 T9873|KQT9 983 K73 K65|432 AQ52 Q986 42
J743 AK8 K8 A652|T95 Q52 J76542 3|2 J973 AQ9 KQ874|AKQ86 T64 T3 JT9
KQ98 AK5 K4 JT52|T4 QJT Q653 K876|AJ72 964 A9 A943|653 8732 JT872 Q
A432 AQT3 K73 K6|T8 K642 AJ65 873|J J95 Q982 AQJT5|KQ9765 87 T4 942
A72 AKQ42 T92 K3|KT9853 J83 Q6 A5| 9 AKJ543 QJ9642|QJ64 T765 87 T87
KJ3 AT2 JT9 AQ97|752 765 K2 KT642|AQ98 KQJ94 85 J8|T64 83 AQ7643 53
KQ4 QJ753 AKT Q3|T53 9642 J42 752|876 KT Q876 AK96|AJ92 A8 953 JT84
K54 KQ6 AT743 A2|QT93 J9 986 QJ65|76 AT832 KJ K743|AJ82 754 Q52 T98
A852 K96 AK62 QT|Q73 Q75 T43 J832|KJT96 A432 Q7 A6|4 JT8 J985 K9754
J763 KQ5 K74 AQT|QT8 93 QT9853 J5|AK54 A2 J 987632|92 JT8764 A62 K4
J973 AK4 75 AK75|42 9652 643 QT94|KQT86 Q7 AK98 J2|A5 JT83 QJT2 863
A974 T7 AK43 A92|KJT5 63 87652 J3|Q82 AK842 QJT T8|63 QJ95 9 KQ7654
AKQ2 K82 KJ4 T53|JT96 Q763 T82 62|73 AJT95 Q65 AKQ|854 4 A973 J9874
Q7 854 AKJ5 AQT6|A6542 T92 Q6 943|KJ KQJ73 32 J872|T983 A6 T9874 K5
AT2 J93 AK96 K74|987 T4 Q8542 QJ2|KQJ4 AKQ862 JT7 |653 75 3 AT98653
A9653 A7 KJ7 K42|K72 T8432 932 73|QT8 KJ5 Q54 AJ96|J4 Q96 AT86 QT85
K82 AJT7 A754 K6|T9 Q9653 32 T875|QJ54 K4 KJ J9432|A763 82 QT986 AQ
A98 KJ74 K2 A983|QJ65 5 JT93 J754|KT4 QT863 A65 KT|732 A92 Q874 Q62
AQ5 Q54 AKT62 T2|KT872 J62 QJ5 J7|J64 AK9 984 KQ83|93 T873 73 A9654
AJ84 KT32 K8 A42| QJ974 JT5 QJ983|KQ63 A85 AQ97 76|T9752 6 6432 KT5
64 KQ8 K85 AKQ52|J853 AT76 JT6 76|AKQ972 5432 A9 8|T J9 Q7432 JT943
KT2 AJ63 A74 KJ2|J4 KQT9 JT65 873|AQ87653 2 K9 QT4|9 8754 Q832 A965
K73 KQ96 AQ9 Q42|Q94 AT32 K862 J9|AJ52 J JT74 A853|T86 8754 53 KT76
J32 K2 AKT64 A95|Q9 T97654 972 86|AT5 AQ83 83 J743|K8764 J QJ5 KQT2
AQ6 QJ AK32 9632|43 8754 T9 KQJ84|K87 AT9 QJ754 AT|JT952 K632 86 75
AT4 K8 QJT7 AQ32|2 JT732 984 JT64|QJ9 A54 AK652 85|K87653 Q96 3 K97
KJ4 AJT5 52 AK63|62 Q98643 JT6 Q2|AT97 2 AQ943 J54|Q853 K7 K87 T987
AQT AQ T865 AJ53|85 J97643 97 964|K64 K82 KJ32 KT2|J9732 T5 AQ4 Q87
A7 Q43 KT43 AKT5|JT K98 J2 QJ9843|K98642 AT5 A7 76|Q53 J762 Q9865 2
AQJT5 K82 J83 A9|764 93 A94 KQT54|K3 AQJ75 KT762 3|982 T64 Q5 J8762
Q3 AK83 KQ62 Q87|T9842 7  AJT9643|AJ76 QJ942 AJT4 |K5 T65 98753 K52
9876 A8 AKQ2 A83|QT32 J4 T8765 T5|AK KQT7532 93 Q6|J54 96 J4 KJ9742
AK85 Q865 A63 Q6|JT974 T974 Q T43|2 KJ JT98742 AK8|Q63 A32 K5 J9752
K43 AJ AQ7 J7532|QJ7 K942 J652 KT|A986 86 KT8 AQ86|T52 QT753 943 94
KQJ87 Q3 AJ9 K85|T42 87642 T7 AQ7|A63 AK Q6432 T42|95 JT95 K85 J963
AKQ32 Q32 Q76 K2|6 A74 K94 J96543|J84 KJT6 A53 A87|T975 985 JT82 QT
943 AQ8 QT86 AK5|AT7 KT2 97 QT973|KQ652 J976 AK4 2|J8 543 J532 J864
Q7 A73 KJ74 KQ82|T65432 KT9 A5 J3|AKJ QJ6 93 T7654|98 8542 QT862 A9
43 AQJ A985 AJT3|65 K87653 T432 5|AKJT982 94 J76 Q|Q7 T2 KQ K987642
AK75 KJT6 Q4 QJ9|J42 7 KT6 KT8732|T AQ982 J85 A654|Q9863 543 A9732 
AKQ Q743 Q75 Q76|98643 AT9 AT93 9|JT72 K62 J4 AK54|5 J85 K862 JT832
K42 AQ32 Q2 KQ87|9763 J94 83 T632|AJT KT85 J965 A5|Q85 76 AKT74 J94
AJ5 QT2 Q8653 AK|QT9872 J865  753|K4 AK3 KJ942 QJ2|63 974 AT7 T9864
K652 J9 KJ3 AK72|T97 K8764 T75 98|AJ 532 A84 QJT63|Q843 AQT Q962 54
AJ5 KJ32 QJT7 KQ|K8 98765 94 T962|T9732 QT AK652 A|Q64 A4 83 J87543
K3 AQ954 J73 KQ8|QT6 K2 K9842 752|A8 3 AQT65 AJT43|J97542 JT876  96
A865 AJ73 AJ4 J6|KQ4 T82 KT92 Q83|JT732 KQ5 Q87 AT|9 964 653 K97542
